Customer_ID,Age,Income,Purchases,Gender,Churn
1,56,112050,20,Female,0
2,46,38323,19,Female,0
3,32,38019,1,Female,0
4,25,95426,28,Male,1
5,38,60863,21,Female,1
6,56,30283,22,Female,0
7,36,38279,2,Female,0
8,40,66999,15,Female,1
9,28,82780,14,Female,0
10,28,42908,19,Male,1
11,41,81584,11,Female,0
12,53,70225,15,Male,1
13,57,57952,6,Male,0
14,41,57663,20,Female,0
15,20,81381,9,Female,0
16,39,67929,5,Male,1
17,19,29343,20,Male,1
18,41,96173,2,Male,1
19,47,59791,6,Female,0
20,55,49134,26,Male,0
21,19,67101,18,Male,0
22,38,89443,28,Female,0
23,50,119111,29,Male,0
24,29,77530,23,Female,0
25,39,66799,19,Male,1
26,42,24827,9,Female,1
27,44,116143,27,Male,1
28,59,82653,21,Female,0
29,45,33699,24,Female,1
30,33,111419,27,Male,0
31,32,25313,6,Female,0
32,20,33598,14,Male,1
33,54,48807,28,Female,0
34,24,90423,26,Female,0
35,38,89390,24,Female,0
36,26,65226,29,Female,0
37,56,79550,13,Female,0
38,35,100072,11,Female,1
39,21,23558,12,Female,1
40,42,95308,19,Male,0
41,31,70113,19,Male,0
42,26,72999,21,Female,1
43,43,75878,27,Female,1
44,19,56343,26,Female,1
45,37,78219,19,Male,0
46,45,55186,24,Female,1
47,24,56966,26,Male,1
48,25,53769,13,Female,0
49,52,73218,28,Female,0
50,31,39229,14,Female,1
51,34,95209,24,Female,0
52,53,47877,18,Female,1
53,57,78001,12,Male,1
54,21,117137,4,Female,0
55,19,58084,10,Male,0
56,23,101780,29,Male,1
57,59,112892,17,Female,0
58,21,36806,4,Female,0
59,46,108635,12,Female,0
60,35,57034,13,Male,0
61,43,60317,29,Male,0
62,51,75468,27,Male,0
63,27,39094,29,Female,0
64,53,77796,4,Male,1
65,31,30589,10,Male,0
66,48,77221,25,Male,1
67,32,21657,3,Female,0
68,25,118300,15,Male,1
69,31,59531,2,Male,0
70,40,72227,25,Female,1
71,57,23164,25,Female,0
72,38,113078,17,Female,1
73,33,103973,6,Male,0
74,35,61247,26,Male,0
75,41,39601,8,Male,1
76,43,113966,3,Female,1
77,42,70599,27,Male,0
78,58,91545,25,Female,1
79,46,24552,18,Female,1
80,32,29417,22,Male,0
81,18,78579,1,Male,1
82,42,88207,29,Male,0
83,24,92055,16,Female,1
84,26,98270,7,Female,0
85,41,23722,3,Male,1
86,18,90442,23,Female,0
87,25,115632,4,Male,0
88,41,60031,9,Male,1
89,28,99235,5,Male,1
90,34,41438,19,Female,0
